10100234;Lap trinh C++;nguyenvanhai@ut.edu.vn;NVA1234,TTB1235,LMC1236,PND1237,VVD1238,HTE1239,DVP1240,BTG1241,NVH1242,TTH1243,PVD1261,BVX1273,NTY1274,NTX1290,TVD1291,PVH1301,TVH1307,BVT1313,LTB1324,NTL1330
10100235;Co so du lieu;tranthilan@ut.edu.vn;NVA1234,TTB1235,VVD1238,HTE1239,LVK1244,PTL1245,VML1246,HVM1247,DTN1248,BVQ1249,NTP1250,TVS1251,LTT1252,HVV1255,DTX1256,VTH1262,TVP1267,TVC1275,LTD1276,VTK1278,NTX1290,TVD1291,HVN1295,DTP1296,TVH1315,LTL1316,LTB1324,PVC1325,NTL1330
10100236;Lap trinh Java;leminhtuan@ut.edu.vn;NVA1234,LMC1236,HTE1239,LVK1244,PTL1245,NTP1250,PVT1253,VTU1254,HVV1255,DTX1256,BVY1257,NTA1258,TVB1259,LTC1260,VTH1262,TVP1267,LTQ1268,LTD1276,DTP1296,LTK1308,LTL1316,HVT1319,NTX1322,PVP1333
10100237;Cau truc du lieu;phamquocbao@ut.edu.vn;NVA1234,PND1237,HTE1239,PTL1245,TVS1251,VTU1254,DTX1256,BVY1257,PVD1261,VTH1262,HVK1263,DTL1264,BVM1265,NTN1266,TVP1267,LTQ1268,TVD1291,LTH1292,DTP1296,NTD1314,TVH1315,LTL1316,PVN1317,HVT1319
10100238;He dieu hanh;hoangthimai@ut.edu.vn;NVA1234,VVD1238,DVP1240,PTL1245,BVY1257,NTA1258,VTH1262,PVS1269,VTT1270,HVT1271,DTV1272,BVX1273,NTY1274,TVC1275,LTD1276,PVH1277,VTK1278,DTV1288,TVD1291,PVN1317,DTU1320
10100239;Mang may tinh;vothanhlong@ut.edu.vn;NVA1234,VVD1238,HTE1239,DVP1240,VML1246,BVY1257,TVB1259,HVK1263,LTQ1268,PVS1269,NTY1274,LTD1276,PVH1277,VTK1278,HVL1279,DTM1280,BVN1281,NTO1282,TVP1283,HVT1319,DTU1320
10100240;Cong nghe phan mem;doquanghuy@ut.edu.vn;TTB1235,DVP1240,BTG1241,VML1246,HVM1247,LTT1252,LTC1260,PVD1261,HVK1263,DTL1264,PVS1269,VTT1270,HVL1279,BVN1281,NTO1282,LTQ1284,PVT1285,VTT1286,HVT1287,DTV1288,BVH1289,LTH1292,TVT1299,LTV1300,HVL1303,DTU1320,BVV1321
10100241;Phan tich thiet ke HTTT;buiminhchau@ut.edu.vn;TTB1235,DVP1240,BTG1241,NVH1242,VML1246,BVQ1249,NTP1250,LTT1252,PVD1261,VTH1262,HVK1263,DTL1264,PVH1277,DTM1280,TVP1283,LTQ1284,VTT1286,DTV1288,TVD1291,LTH1292,PVK1293,VTL1294,HVN1295,BVQ1297,NTT1298,TVT1299,PVH1301,HVL1303,DTM1304,TVH1315,DTU1320,BVV1321,NTX1322
10100242;Lap trinh Web;nguyenthihong@ut.edu.vn;TTB1235,BTG1241,NVH1242,VML1246,LTT1252,NTA1258,DTM1280,NTO1282,PVT1285,VTT1286,BVQ1297,NTT1298,LTV1300,PVH1301,VTN1302,HVL1303,DTM1304,BVD1305,NTH1306,TVH1307,BVV1321,NTX1322,TVA1323
10100243;Tri tue nhan tao;dangvanphuc@ut.edu.vn;NVH1242,TTH1243,HVM1247,DTN1248,TVS1251,LTT1252,HVK1263,BVM1265,TVP1267,BVH1289,VTL1294,VTN1302,LTK1308,PVL1309,VTN1310,HVP1311,DTT1312,BVT1313,NTD1314,TVH1315
10100244;Thiet ke giao dien;tranvankhoa@ut.edu.vn;TTH1243,LVK1244,BVQ1249,PVT1253,DTL1264,LTQ1268,LTQ1284,PVK1293,PVL1309,LTL1316,PVN1317,VTQ1318,HVT1319,DTU1320,TVA1323,LTB1324,PVC1325,VTD1326,HVG1327,DTH1328,PVP1333
10100245;Xu ly anh;nguyenthithao@ut.edu.vn;LMC1236,NVH1242,HVM1247,DTL1264,BVM1265,NTN1266,HVT1287,DTV1288,DTM1304,VTN1310,NTX1322,TVA1323,LTB1324,PVC1325,VTD1326,HVG1327,DTH1328,BVK1329,NTL1330,TVM1331,LTN1332
10100246;An toan thong tin;lequocviet@ut.edu.vn;LMC1236,PTL1245,VML1246,DTN1248,BVY1257,NTA1258,DTL1264,BVM1265,NTN1266,DTV1272,DTV1288,BVD1305,NTH1306,HVP1311,VTD1326,TVM1331,LTN1332,PVP1333
10100247;Hoc may;phamthinhung@ut.edu.vn;PND1237,HVM1247,TVB1259,BVM1265,NTN1266,TVP1267,HVT1271,NTH1306,TVH1307,DTT1312,BVK1329,LTN1332
10100248;Kiem thu phan mem;hoangminhduc@ut.edu.vn;PND1237,DTN1248,TVP1267,LTQ1268,HVT1287,HVN1295,PVN1317,VTQ1318,DTH1328
