Nguyen Van An;nguyenvanan@ut.edu.vn;NVA1234;10100234,10100235,10100236,10100237,10100238,10100239
Tran Thi Binh;tranthibinh@ut.edu.vn;TTB1235;10100234,10100235,10100240,10100241,10100242
Le Minh Chi;leminhchi@ut.edu.vn;LMC1236;10100234,10100236,10100245,10100246
Pham Ngoc Dung;phamngocdiung@ut.edu.vn;PND1237;10100234,10100237,10100247,10100248
Vo Van Duc;vovandiuc@ut.edu.vn;VVD1238;10100234,10100235,10100238,10100239
Hoang Thi Em;hoangthiem@ut.edu.vn;HTE1239;10100234,10100235,10100236,10100237,10100239
Dang Van Phuc;dangvanphuc@ut.edu.vn;DVP1240;10100234,10100238,10100239,10100240,10100241
Bui Thi Giang;buithigiang@ut.edu.vn;BTG1241;10100234,10100240,10100241,10100242
Nguyen Van Hieu;nguyenvanhieu@ut.edu.vn;NVH1242;10100234,10100241,10100242,10100243,10100245
Tran Thi Hong;tranthihong@ut.edu.vn;TTH1243;10100234,10100243,10100244
Le Van Khoa;levankhoa@ut.edu.vn;LVK1244;10100235,10100236,10100244
Pham Thi Lan;phamthilan@ut.edu.vn;PTL1245;10100235,10100236,10100237,10100238,10100246
Vo Minh Long;vominhlong@ut.edu.vn;VML1246;10100235,10100239,10100240,10100241,10100242,10100246
Hoang Van Manh;hoangvanmanh@ut.edu.vn;HVM1247;10100235,10100240,10100243,10100245,10100247
Dang Thi Nga;dangthinga@ut.edu.vn;DTN1248;10100235,10100243,10100246,10100248
Bui Van Quan;buivanquan@ut.edu.vn;BVQ1249;10100235,10100241,10100244
Nguyen Thi Phuong;nguyenthiphuong@ut.edu.vn;NTP1250;10100235,10100236,10100241
Tran Van Son;tranvanson@ut.edu.vn;TVS1251;10100235,10100237,10100243
Le Thi Thao;lethithao@ut.edu.vn;LTT1252;10100235,10100240,10100241,10100242,10100243
Pham Van Tuan;phamvantuan@ut.edu.vn;PVT1253;10100236,10100244
Vo Thi Uyen;vothiuyen@ut.edu.vn;VTU1254;10100236,10100237
Hoang Van Vinh;hoangvanvinh@ut.edu.vn;HVV1255;10100235,10100236
Dang Thi Xuan;dangthixuan@ut.edu.vn;DTX1256;10100235,10100236,10100237
Bui Van Yen;buivanyen@ut.edu.vn;BVY1257;10100236,10100237,10100238,10100239,10100246
Nguyen Thi Anh;nguyenthianh@ut.edu.vn;NTA1258;10100236,10100238,10100242,10100246
Tran Van Binh;tranvanbinh@ut.edu.vn;TVB1259;10100236,10100239,10100247
Le Thi Cam;lethicam@ut.edu.vn;LTC1260;10100236,10100240
Pham Van Dat;phamvandat@ut.edu.vn;PVD1261;10100234,10100237,10100240,10100241
Vo Thi Hanh;vothihanh@ut.edu.vn;VTH1262;10100235,10100236,10100237,10100238,10100241
Hoang Van Khanh;hoangvankhanh@ut.edu.vn;HVK1263;10100237,10100239,10100240,10100241,10100243
Dang Thi Linh;dangthilinh@ut.edu.vn;DTL1264;10100237,10100240,10100241,10100244,10100245,10100246
Bui Van Minh;buivanminh@ut.edu.vn;BVM1265;10100237,10100243,10100245,10100246,10100247
Nguyen Thi Nhi;nguyenthinhi@ut.edu.vn;NTN1266;10100237,10100245,10100246,10100247
Tran Van Phat;tranvanphat@ut.edu.vn;TVP1267;10100235,10100236,10100237,10100243,10100247,10100248
Le Thi Quynh;lethiquynh@ut.edu.vn;LTQ1268;10100236,10100237,10100239,10100244,10100248
Pham Van Sang;phamvansang@ut.edu.vn;PVS1269;10100238,10100239,10100240
Vo Thi Tam;vothitam@ut.edu.vn;VTT1270;10100238,10100240
Hoang Van Trung;hoangvantrung@ut.edu.vn;HVT1271;10100238,10100247
Dang Thi Van;dangthivan@ut.edu.vn;DTV1272;10100238,10100246
Bui Van Xuan;buivanxuan@ut.edu.vn;BVX1273;10100234,10100238
Nguyen Thi Yen;nguyenthiyen@ut.edu.vn;NTY1274;10100234,10100238,10100239
Tran Van Cuong;tranvancuong@ut.edu.vn;TVC1275;10100235,10100238
Le Thi Dieu;lethidieu@ut.edu.vn;LTD1276;10100235,10100236,10100238,10100239
Pham Van Hoa;phamvanhoa@ut.edu.vn;PVH1277;10100238,10100239,10100241
Vo Thi Kim;vothikim@ut.edu.vn;VTK1278;10100235,10100238,10100239
Hoang Van Lam;hoangvanlam@ut.edu.vn;HVL1279;10100239,10100240
Dang Thi My;dangthimy@ut.edu.vn;DTM1280;10100239,10100241,10100242
Bui Van Nam;buivannam@ut.edu.vn;BVN1281;10100239,10100240
Nguyen Thi Oanh;nguyenthioanh@ut.edu.vn;NTO1282;10100239,10100240,10100242
Tran Van Phong;tranvanphong@ut.edu.vn;TVP1283;10100239,10100241
Le Thi Quyen;lethiquyen@ut.edu.vn;LTQ1284;10100240,10100241,10100244
Pham Van Tai;phamvantai@ut.edu.vn;PVT1285;10100240,10100242
Vo Thi Thuy;vothithuy@ut.edu.vn;VTT1286;10100240,10100241,10100242
Hoang Van Tung;hoangvantung@ut.edu.vn;HVT1287;10100240,10100245,10100248
Dang Thi Vui;dangthivui@ut.edu.vn;DTV1288;10100238,10100240,10100241,10100245,10100246
Bui Van Hung;buivanhung@ut.edu.vn;BVH1289;10100240,10100243
Nguyen Thi Xuan;nguyenthixuan@ut.edu.vn;NTX1290;10100234,10100235
Tran Van Dung;tranvandung@ut.edu.vn;TVD1291;10100234,10100235,10100237,10100238,10100241
Le Thi Hien;lethihien@ut.edu.vn;LTH1292;10100237,10100240,10100241
Pham Van Kiet;phamvankiet@ut.edu.vn;PVK1293;10100241,10100244
Vo Thi Loan;vothiloan@ut.edu.vn;VTL1294;10100241,10100243
Hoang Van Nhan;hoangvannhan@ut.edu.vn;HVN1295;10100235,10100241,10100248
Dang Thi Phuong;dangthiphuong@ut.edu.vn;DTP1296;10100235,10100236,10100237
Bui Van Quang;buivanquang@ut.edu.vn;BVQ1297;10100241,10100242
Nguyen Thi Thuy;nguyenthithuy@ut.edu.vn;NTT1298;10100241,10100242
Tran Van Thanh;tranvanthanh@ut.edu.vn;TVT1299;10100240,10100241
Le Thi Vy;lethivy@ut.edu.vn;LTV1300;10100240,10100242
Pham Van Hieu;phamvanhieu@ut.edu.vn;PVH1301;10100234,10100241,10100242
Vo Thi Nhan;vothinhuan@ut.edu.vn;VTN1302;10100242,10100243
Hoang Van Loc;hoangvanloc@ut.edu.vn;HVL1303;10100240,10100241,10100242
Dang Thi Mai;dangthimai@ut.edu.vn;DTM1304;10100241,10100242,10100245
Bui Van Duy;buivanduy@ut.edu.vn;BVD1305;10100242,10100246
